,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes
608,113.0,55.0,314.0,45.0
609,158.0,47.0,275.0,54.0
610,157.0,54.0,270.0,47.0
611,151.0,50.0,300.0,42.0
612,161.0,68.0,294.0,42.0
613,144.0,79.0,259.0,38.0
614,167.0,65.0,311.0,60.0
615,153.0,64.0,294.0,45.0
616,144.0,60.0,261.0,47.0
617,130.0,70.0,289.0,52.0
618,135.0,55.0,305.0,42.0
619,141.0,61.0,270.0,42.0
620,136.0,60.0,316.0,46.0
621,118.0,57.0,299.0,41.0
622,143.0,65.0,250.0,43.0
623,135.0,66.0,323.0,51.0
624,135.0,56.0,288.0,52.0
625,144.0,59.0,267.0,44.0
626,146.0,56.0,289.0,52.0
627,128.0,56.0,269.0,37.0
628,127.0,56.0,275.0,40.0
629,116.0,65.0,278.0,47.0
630,132.0,67.0,331.0,43.0
631,137.0,52.0,281.0,44.0
632,143.0,64.0,272.0,46.0
633,140.0,59.0,304.0,52.0
634,141.0,53.0,318.0,46.0
635,113.0,56.0,289.0,44.0
636,142.0,48.0,319.0,40.0
637,151.0,53.0,298.0,53.0
638,148.0,52.0,312.0,40.0
639,159.0,73.0,298.0,38.0
640,150.0,54.0,302.0,48.0
641,152.0,46.0,284.0,40.0
642,130.0,60.0,284.0,44.0
643,148.0,43.0,255.0,43.0
644,128.0,63.0,280.0,35.0
645,142.0,55.0,276.0,44.0
646,132.0,54.0,271.0,47.0
647,144.0,60.0,297.0,43.0
648,140.0,66.0,257.0,42.0
649,113.0,52.0,277.0,47.0
650,121.0,60.0,248.0,43.0
651,139.0,42.0,302.0,38.0
652,116.0,66.0,265.0,45.0
653,134.0,50.0,291.0,42.0
654,166.0,63.0,276.0,35.0
655,133.0,51.0,267.0,38.0
656,124.0,55.0,295.0,42.0
657,134.0,51.0,264.0,40.0
658,120.0,45.0,285.0,41.0
659,145.0,59.0,360.0,42.0
660,116.0,40.0,273.0,52.0
661,126.0,54.0,299.0,34.0
662,147.0,70.0,321.0,35.0
663,130.0,48.0,307.0,50.0
664,133.0,48.0,306.0,45.0
665,137.0,57.0,320.0,42.0
666,145.0,49.0,288.0,48.0
667,121.0,51.0,278.0,40.0
668,128.0,56.0,280.0,32.0
669,148.0,53.0,296.0,35.0
670,145.0,52.0,283.0,49.0
671,141.0,50.0,292.0,35.0
672,144.0,69.0,322.0,33.0
673,130.0,59.0,295.0,45.0
674,124.0,50.0,271.0,45.0
675,133.0,62.0,265.0,49.0
676,143.0,52.0,317.0,32.0
677,124.0,63.0,228.0,26.0
678,112.0,54.0,266.0,44.0
679,129.0,62.0,292.0,41.0
680,146.0,56.0,288.0,42.0
681,120.0,42.0,259.0,39.0
682,128.0,56.0,276.0,43.0
683,118.0,67.0,291.0,53.0
684,118.0,59.0,270.0,36.0
685,114.0,48.0,248.0,37.0
686,113.0,44.0,289.0,46.0
687,145.0,65.0,275.0,38.0
688,109.0,50.0,266.0,37.0
689,128.0,60.0,297.0,43.0
690,104.0,43.0,272.0,35.0
691,120.0,44.0,257.0,41.0
692,107.0,50.0,270.0,44.0
693,129.0,42.0,298.0,37.0
694,147.0,54.0,340.0,41.0
695,128.0,51.0,259.0,37.0
696,129.0,63.0,291.0,34.0
697,102.0,43.0,287.0,35.0
698,120.0,48.0,288.0,41.0
699,124.0,39.0,291.0,32.0
700,131.0,59.0,298.0,30.0
701,126.0,58.0,289.0,33.0
702,120.0,44.0,289.0,35.0
703,131.0,55.0,257.0,29.0
704,149.0,54.0,239.0,47.0
705,132.0,56.0,263.0,42.0
706,109.0,61.0,255.0,34.0
707,139.0,56.0,303.0,35.0
708,125.0,45.0,283.0,39.0
709,125.0,42.0,250.0,33.0
710,122.0,53.0,234.0,43.0
711,125.0,50.0,263.0,33.0
712,125.0,41.0,290.0,36.0
713,114.0,48.0,255.0,38.0
714,126.0,39.0,270.0,34.0
715,121.0,37.0,288.0,35.0
716,126.0,57.0,270.0,37.0
717,121.0,37.0,227.0,36.0
718,116.0,61.0,247.0,38.0
719,113.0,44.0,265.0,39.0
720,124.0,52.0,286.0,35.0
721,109.0,59.0,256.0,38.0
722,134.0,47.0,247.0,36.0
723,119.0,48.0,266.0,31.0
724,106.0,42.0,258.0,34.0
725,130.0,37.0,229.0,34.0
726,114.0,48.0,228.0,33.0
727,121.0,51.0,276.0,33.0
728,111.0,45.0,235.0,37.0
729,133.0,43.0,215.0,27.0
730,117.0,42.0,223.0,36.0
731,104.0,45.0,227.0,29.0
732,122.0,58.0,237.0,30.0
733,107.0,52.0,248.0,36.0
734,125.0,55.0,247.0,35.0
