,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
609,74.0,3.0,14.0
610,74.0,3.0,14.0
611,74.0,6.0,14.0
612,100.0,6.0,14.0
613,100.0,6.0,14.0
614,100.0,6.0,14.0
615,100.0,6.0,22.0
616,100.0,6.0,22.0
617,100.0,7.0,22.0
618,115.0,7.0,22.0
619,115.0,7.0,22.0
620,115.0,7.0,22.0
621,115.0,7.0,0.0
622,115.0,7.0,0.0
623,115.0,5.0,0.0
624,119.0,5.0,0.0
625,119.0,5.0,0.0
626,119.0,5.0,0.0
627,119.0,5.0,2.0
628,119.0,5.0,2.0
629,119.0,5.0,2.0
630,137.0,5.0,2.0
631,137.0,5.0,2.0
632,137.0,5.0,2.0
633,137.0,5.0,4.0
634,137.0,5.0,4.0
635,137.0,3.0,4.0
636,118.0,3.0,4.0
637,118.0,3.0,4.0
638,118.0,3.0,4.0
639,118.0,3.0,8.0
640,118.0,3.0,8.0
641,118.0,3.0,8.0
642,109.0,3.0,8.0
643,109.0,3.0,8.0
644,109.0,3.0,8.0
645,109.0,3.0,16.0
646,109.0,3.0,16.0
647,109.0,2.0,16.0
648,130.0,2.0,16.0
649,130.0,2.0,16.0
650,130.0,2.0,16.0
651,130.0,2.0,14.0
652,130.0,2.0,14.0
653,130.0,2.0,14.0
654,112.0,2.0,14.0
655,112.0,2.0,14.0
656,112.0,2.0,14.0
657,112.0,2.0,8.0
658,112.0,2.0,8.0
659,112.0,4.0,8.0
660,136.0,4.0,8.0
661,136.0,4.0,8.0
662,136.0,4.0,8.0
663,136.0,4.0,5.0
664,136.0,4.0,5.0
665,136.0,8.0,5.0
666,151.0,8.0,5.0
667,151.0,8.0,5.0
668,151.0,8.0,5.0
669,151.0,8.0,10.0
670,151.0,8.0,10.0
671,151.0,11.0,10.0
672,142.0,11.0,10.0
673,142.0,11.0,10.0
674,142.0,11.0,10.0
675,142.0,11.0,26.0
676,142.0,11.0,26.0
677,142.0,23.0,26.0
678,149.0,23.0,26.0
679,149.0,23.0,26.0
680,149.0,23.0,26.0
681,149.0,23.0,22.0
682,149.0,23.0,22.0
683,149.0,26.0,22.0
684,142.0,26.0,22.0
685,142.0,26.0,22.0
686,142.0,26.0,22.0
687,142.0,26.0,11.0
688,142.0,26.0,11.0
689,142.0,23.0,11.0
690,120.0,23.0,11.0
691,120.0,23.0,11.0
692,120.0,23.0,11.0
693,120.0,23.0,9.0
694,120.0,23.0,9.0
695,120.0,16.0,9.0
696,149.0,16.0,9.0
697,149.0,16.0,9.0
698,149.0,16.0,9.0
699,149.0,16.0,9.0
700,149.0,16.0,9.0
701,149.0,17.0,9.0
702,110.0,17.0,9.0
703,110.0,17.0,9.0
704,110.0,17.0,9.0
705,110.0,17.0,11.0
706,110.0,17.0,11.0
707,110.0,16.0,11.0
708,86.0,16.0,11.0
709,86.0,16.0,11.0
710,86.0,16.0,11.0
711,86.0,16.0,10.0
712,86.0,16.0,10.0
713,86.0,17.0,10.0
714,47.0,17.0,10.0
715,47.0,17.0,10.0
716,47.0,17.0,10.0
717,47.0,17.0,5.0
718,47.0,17.0,5.0
719,47.0,9.0,5.0
720,59.0,9.0,5.0
721,59.0,9.0,5.0
722,59.0,9.0,6.0
723,59.0,9.0,6.0
724,59.0,9.0,6.0
725,59.0,8.0,6.0
726,66.0,8.0,6.0
727,66.0,8.0,6.0
728,66.0,8.0,10.0
729,66.0,8.0,10.0
730,66.0,8.0,10.0
731,66.0,7.0,10.0
732,72.0,7.0,10.0
733,72.0,7.0,10.0
734,72.0,7.0,14.0
735,72.0,7.0,14.0
736,72.0,7.0,14.0
737,72.0,5.0,14.0
738,72.0,5.0,14.0
739,72.0,5.0,14.0
740,72.0,5.0,26.0
741,72.0,5.0,26.0
742,72.0,5.0,26.0
743,72.0,3.0,26.0
744,75.0,3.0,26.0
745,75.0,3.0,26.0
746,75.0,3.0,49.0
747,75.0,3.0,49.0
748,75.0,3.0,49.0
749,75.0,2.0,49.0
750,64.0,2.0,49.0
751,64.0,2.0,49.0
752,64.0,2.0,38.0
753,64.0,2.0,38.0
754,64.0,2.0,38.0
755,64.0,1.0,38.0
756,64.0,1.0,38.0
