,pandemic_infected,pandemic_recovered,pandemic_susceptible
581,8.499999999999999e-05,0.428105,0.56343625
582,8.499999999999999e-05,0.4282025,0.5634225
583,7.75e-05,0.4283125,0.56341375
584,7.25e-05,0.42841,0.563405
585,6.500000000000001e-05,0.42849625,0.56339625
586,6.625e-05,0.4285825,0.563385
587,6.500000000000001e-05,0.42865625,0.56337625
588,5.875e-05,0.42874375,0.5633625
589,5.375e-05,0.4288125,0.5633575
590,4e-05,0.42888999999999994,0.5633524999999999
591,2.9999999999999997e-05,0.4289625,0.5633524999999999
592,3.375e-05,0.429015,0.5633425
593,3.125e-05,0.42906000000000005,0.5633375
594,2.125e-05,0.42911625,0.5633375
595,2e-05,0.42916750000000004,0.56333625
596,2e-05,0.42922,0.563335
597,1.4999999999999999e-05,0.42926000000000003,0.56333375
598,1.625e-05,0.42929875,0.56333
599,1.625e-05,0.4293275,0.5633275
600,1.75e-05,0.42935875,0.56332375
601,2e-05,0.42939625,0.56332125
602,1.875e-05,0.42942125,0.5633175
603,2e-05,0.42944875,0.56331625
604,2.125e-05,0.42947125,0.5633125
605,2.375e-05,0.42949750000000003,0.5633100000000001
606,2.25e-05,0.4295175,0.56330875
607,2.375e-05,0.42953875,0.5633024999999999
608,2e-05,0.42956000000000005,0.56330125
609,1.4999999999999999e-05,0.42958,0.56329875
610,1.4999999999999999e-05,0.429605,0.56329625
611,1.25e-05,0.42962375,0.56329625
612,1.25e-05,0.4296375,0.56329375
613,1.375e-05,0.429655,0.56328875
614,1.25e-05,0.42967125,0.5632875
615,8.75e-06,0.42968875,0.5632875
616,1e-05,0.42971125,0.56328625
617,1e-05,0.42972125,0.563285
618,1.125e-05,0.42973375,0.5632825
619,7.499999999999999e-06,0.42975375,0.56328
620,5e-06,0.42976499999999995,0.56328
621,5e-06,0.42978,0.56328
622,5e-06,0.42978875,0.56328
623,3.75e-06,0.429795,0.56328
624,3.75e-06,0.42979625,0.56328
625,2.5e-06,0.42980625,0.56328
626,2.5e-06,0.42981499999999995,0.56328
627,2.5e-06,0.42982250000000005,0.56328
628,2.5e-06,0.42982625,0.56328
629,2.5e-06,0.42983000000000005,0.56328
630,3.75e-06,0.4298325,0.56327875
631,2.5e-06,0.42984125,0.56327875
632,2.5e-06,0.42984625,0.56327875
633,2.5e-06,0.42985125,0.56327875
634,1.25e-06,0.42985375,0.56327875
635,1.25e-06,0.42985625,0.56327875
636,1.25e-06,0.42986375,0.5632775
637,1.25e-06,0.42986499999999994,0.5632775
638,1.25e-06,0.42987,0.5632775
639,1.25e-06,0.42987125,0.5632775
640,1.25e-06,0.42987250000000005,0.5632775
641,1.25e-06,0.42987625,0.5632775
642,1.25e-06,0.42987749999999997,0.5632775
643,1.25e-06,0.42987875,0.56327625
644,1.25e-06,0.42988125,0.56327625
645,1.25e-06,0.429885,0.56327625
646,1.25e-06,0.4298875,0.56327625
647,1.25e-06,0.42988875,0.56327625
648,0.00062625,0.0,0.99936625
649,0.000825,7e-05,0.9990125
650,0.00147,0.00016,0.99815375
651,0.00306875,0.00035125,0.99611
652,0.00702,0.00075625,0.99118125
653,0.015905000000000002,0.0016699999999999998,0.98010625
654,0.03117875,0.00362625,0.96017375
655,0.0515125,0.00709875,0.9316875
656,0.072215,0.01243,0.8985575000000001
657,0.0902,0.0196725,0.864275
